District Name,Area (km2)[5],Population (2011)[5],Population density (per km2)
Bhopal,2772,2371061,855
Raisen,8446,1331597,158
Rajgarh,6154,1545814,251
Sehore,6578,1311332,199
Vidisha,7371,1458875,198
Morena,4991,1965970,394
Sheopur,6585,687861,104
Bhind,4459,1703005,382
Gwalior,5214,2032036,390
Ashoknagar,4674,845071,181
Shivpuri,10278,1726050,168
Datia,2038,786754,386
Guna,6485,1241519,191
Alirajpur,3182,728999,229
Barwani,5432,1385881,255
Burhanpur,2473,757847,306
Indore,3898,3276697,841
Dhar,8153,2185793,268
Jhabua,6782,1025048,151
Khandwa,4927,1310061,262
Khargone,4927,1873046,262
Balaghat,9229,1701698,184
Chhindwara,10293,1716612,177
Jabalpur,5210,2463289,473
Katni,4927,1292042,262
Mandla,5805,1054905,182
Narsinghpur,5133,1091854,213
Seoni,8758,1379131,157
Dindori,7427,704524,95
Pandhurna,1522,374310,246
Betul,10043,1575362,157
Harda,3339,570465,171
Narmadapuram,6698,1241350,185
Rewa,6434,1748461,368
Satna,7502,2228935,297
Sidhi,4851,1127033,230
Singrauli,5672,1178273,208
Mauganj,1866,616645,331
Maihar,2722.79,856028,314
Chhatarpur,8687,1762375,203
Damoh,7306,1264219,173
Panna,7135,1016520,142
Sagar,10252,2378458,232
Tikamgarh,3878,1040359,268
Niwari,1170,404807,346
Anuppur,3746,749237,200
Shahdol,6205,1066063,172
Umaria,4026,644758,160
Agar Malwa,2785,571275,205
Dewas,7020,1563715,223
Mandsaur,5530,1340411,242
Neemuch,4267,826067,194
Ratlam,4861,1455069,299
Shajapur,3460,941403,272
Ujjain,6091,1986864,326
Central Delhi,23,578671,
East Delhi,49,1707725,
New Delhi,35,133713,
North Delhi,59,883418,
North East Delhi,56,2240749,
North West Delhi,234.4,3651261,
Shahdara,59.75,322931,
South Delhi,249,2733752,
South East Delhi,102,637775,
South West Delhi,421,2292363,
West Delhi,131,2531583,
Tawang,2085,49950,24
West Kameng,7422,87013,12
Bichom[2],2897,9710,12
East Kameng,4134,78413,19
Pakke-Kessang,,,
Kurung Kumey,8818,89717,10
Papum Pare,2875,176385,61
Kra Daadi,2202,22290,10
Lower Subansiri,3460,82839,24
Kamle,200,"22,256[29]",111.28
Keyi Panyor,,,
Upper Subansiri,7032,83205,12
Shi-Yomi,2875,13310,4.6
West Siang,8325,112272,12
Siang,2919,31920,11
Lower Siang,,80597,
Lepa-Rada,,,
Upper Siang,6188,33146,5
East Siang,4005,99019,25
Dibang Valley,9129,7948,1
Lower Dibang Valley,3900,53986,14
Lohit,2402,145538,61
Anjaw,6190,21089,3
Namsai,1587,95950,60
Changlang,4662,147951,32
Tirap,2362,111975,47
Longding,"1,200","60,000",50
Araria,2829,2811569,751
Arwal,637,699000,918
Aurangabad,3303,2540073,607
Banka,3018,2034763,533
Begusarai,1917,2970541,1222
Bhagalpur,2569,3037766,946
Bhojpur,2473,2728407,903
Buxar,1624,1706352,864
Darbhanga,2278,3937385,1442
East Champaran,3969,5099371,991
Gaya,4978,4391418,696
Gopalganj,2033,2562012,1057
Jamui,3099,1760405,451
Jehanabad,1569,1125313,963
Khagaria,1486,1666886,859
Kishanganj,1884,1690400,687
Kaimur,3363,1626384,382
Katihar,3056,3071029,782
Lakhisarai,1229,1000912,652
Madhubani,3501,4487379,1020
Munger,1419,1367765,800
Madhepura,1787,2001762,853
Muzaffarpur,3173,4801062,1180
Nalanda,2354,2877653,1006
Nawada,2492,2219146,726
Patna,3202,5838465,1471
Purnia,3228,3264619,787
Rohtas,3850,2959918,636
Saharsa,1702,1900661,885
Samastipur,2905,4261566,1175
Sheohar,349,656246,1880
Sheikhpura,689,634927,762
Saran,2641,3951862,1231
Sitamarhi,2199,3423574,1214
Supaul,2410,2229076,724
Siwan,2219,3330464,1221
Vaishali,2036,3495021,1332
West Champaran,5229,3935042,582
Balod,3527,826165,234
Baloda Bazar,3733.87,1078911,290
Balrampur,6016.34,730491,100
Bastar,6596.9,834873,213
Bemetara,2854.81,795759,279
Bijapur,6552.96,255230,39
Bilaspur,3511.1,1625502,463
Dantewada,3410.5,283479,83
Dhamtari,4081.93,799781,196
Durg,2319.99,1721948,742
Gariaband,5854.94,597653,103
Gaurella-Pendra-Marwahi,2307.39,336420,166
Janjgir-Champa,4466.74,966671,360
Jashpur,6457.41,851669,132
Kabirdham,4447.05,822526,185
Kanker,6432.68,748941,117
Kondagaon,6050.73,578326,96
Khairagarh-Chhuikhadan-Gandai,-,368444,-
Korba,7145.44,1206640,169
Koriya,2378,247427,37
Mahasamund,4963.01,1032754,208
Manendragarh-Chirmiri-Bharatpur,4226,376000,-
Mohla-Manpur- Ambagarh Chowki,-,283947,-
Mungeli,2750.36,701707,255
Narayanpur,6922.68,139820,20
Raigarh,-,1112982,-
Raipur,2914.37,2160876,742
Rajnandgaon,8070,884742,110
Sarangarh-Bilaigarh,-,607434,-
Sakti,-,653036,-
Sukma,5767.02,250159,43
Surajpur,4998.26,789043,158
Surguja,5019.8,840352,167
Baksa,2457,950075,387
Bajali,418,253816,610
Barpeta,3182,1693622,532
Biswanath,1415,612491,430
Bongaigaon,1093,738804,676
Cachar,3786,1736319,459
Charaideo[1],1069,471418,441
Chirang#,1170,482162,412
Darrang,1585,928500,586
Dhemaji,3237,686133,212
Dhubri,1608,1394144,867
Dibrugarh,3381,1326335,392
Dima Hasao##,4890,214102,44
Goalpara,1824,1008183,553
Golaghat,3502,1066888,305
Hailakandi,1327,659296,497
Hojai,1686,931218,550
Jorhat,2851,924952,324
Kamrup Metropolitan,1528,1253938,821
Kamrup,3105,1517542,489
Karbi Anglong,7366,660955,90
Sribhumi,1809,1228686,679
Kokrajhar#,3169,887142,280
Lakhimpur,2277,1042137,458
Majuli,880,167304,190
Morigaon,1704,957423,562
Nagaon,3973,2823768,711
Nalbari,2257,771639,342
Sivasagar,2668,679632,255
Sonitpur,3176,1924110,606
South Salmara-Mankachar[1],568,555114,977
Tamulpur,884,389150,440
Tinsukia,3790,1327929,350
Udalguri#,1852,831688,449
West Karbi Anglong[1],3035,295358,97
Srikakulam,4591,2191471,477.34
Parvathipuram Manyam,3659,925340,252.89
Vizianagaram,4122,1930811,468.42
Visakhapatnam,1048,1959544,1869.79
Alluri Sitharama Raju,12251,953960,77.87
Anakapalli,4292,1726998,402.38
Kakinada,3019,2092374,693.07
East Godavari,2561,1832332,715.48
Dr. B. R. Ambedkar Konaseema,2083,1719093,825.3
Eluru,6579,2006737,305.02
West Godavari,2278,1844898,809.88
NTR,3316,2218591,669.06
Krishna,3775,1735079,459.62
Palnadu,7298,2041723,279.76
Guntur,2443,2091075,855.95
Bapatla,3829,1586918,414.45
Sri Potti Sriramulu Nellore,10441,2469712,236.54
Prakasam,14322,2288026,159.76
Kurnool,7980,2271686,284.67
Nandyal,9682,1781777,184.03
Anantapuramu,10205,2241105,219.61
Sri Sathya Sai,8925,1840043,206.17
YSR,11228,2060654,183.53
Annamayya,7954,1697308,213.39
Tirupati,8231,2196984,266.92
Chittoor,6855,1872951,273.22
Daman,72,190855,2650.76
Diu,40,52056,1301.4
Dadra and Nagar Haveli,491,342853,698.27
North Goa,"1,736","817,761",471
South Goa,"1,966","639,962",326
Ahmedabad City,8087,7045313,890
Amreli,,1513614,
Anand,,2090276,
Modasa,,1039918,
Palanpur,4486,3116045,
Bharuch,,1550822,
Bhavnagar,,2393272,
Botad,,656005,
Chhota Udaipur,,1071831,
Dahod,,2126558,
Ahwa,,226769,
Khambhalia,,752484,
Gandhinagar,,1387478,
Veraval,,1217477,
Jamnagar,,1407635,
Junagadh,,1525605,
Bhuj,,2090313,
Nadiad,,2053769,
Lunavada,,994624,
Mehsana,,2027727,
Morbi,,960329,
Rajpipla,,590379,
Navsari,,1330711,
Godhra,,1642268,
Patan,,1342746,
Porbandar,,586062,
Rajkot,,3015229,
Himmatnagar,,1388671,
Surat City,,6079231,
Surendranagar,,1585268,
Vyara,,806489,
Vadodara City,,3093795,
Valsad,,1703068,
Tharad,6257,,
Ambala,1574,1136784,
Bhiwani,3432,1126833,
Charkhi Dadri,1370,502276,
Faridabad,792,1798954,
Fatehabad,2538,941522,
Gurugram,1253,1514085,
Hisar,3983,1742815,
Jhajjar,1834,956907,
Jind,2702,1332042,
Kaithal,2317,1072861,
Karnal,2520,1506323,
Kurukshetra,1530,964231,
Mahendragarh,1859,921680,
Nuh,1874,1089406,
Palwal,1359,1040493,
Panchkula,898,558890,
Panipat,1268,1202811,
Rewari,1582,896129,
Rohtak,1745,1058683,
Sirsa,4277,1295114,
Sonipat,2122,1480080,
Yamunanagar,1768,1214162,
Bilaspur,1167,381956,327
Chamba,6522,519080,80
Hamirpur,1118,454768,407
Kangra,5739,1510075,263
Kinnaur,6401,84121,13
Kullu,5503,437903,80
Lahaul and Spiti,7835,18564,1
Mandi,3950,999777,250
Shimla,5131,814010,159
Sirmaur,2825,529855,188
Solan,1936,580320,300
Una,1540,521173,338
Kathua  ,2502,615711,
Jammu  ,2342,1526406,
Samba  ,904,318611,
Udhampur  ,2367,555357,
Reasi  ,1719,314714,
Rajouri  ,2630,619266,
Poonch  ,1674,476820,
Doda  ,2625,409576,
Ramban  ,1329,283313,
Kishtwar  ,7737,231037,
Anantnag   ,"3,574","1,070,144",
Bandipore   ,345,"385,099",
Baramulla   ,"4,243","1,015,503",
Budgam   ,"1,361","735,753",
Ganderbal   ,"1,045","297,003",
Kulgam   ,410,"422,786",
Kupwara   ,"2,379","875,564",
Pulwama   ,"1,086","570,060",
Shopian   ,312,"265,960",
Srinagar   ,"1,979","1,269,751",
Bokaro,2883,2062330,715
Chatra,3718,1042886,280
Deoghar,2477,1492073,602
Dhanbad,2040,2684487,1316
Dumka,3761,1321442,351
East Singhbhum,3562,2293919,644
Garhwa,4093,1322784,323
Giridih,4962,2445474,493
Godda,2266,1313551,580
Gumla,5360,1025213,191
Hazaribagh,3555,1734495,488
Jamtara,1811,791042,437
Khunti,2535,531885,210
Kodarma,1655,716259,282
Latehar,4291,726978,169
Lohardaga,1502,461790,307
Pakur,1811,900422,497
Palamu,4393,1939869,442
Ramgarh,1341,949443,708
Ranchi,5097,2914253,572
Sahibganj,2063,1150567,558
Saraikela-Kharsawan,2657,1065056,401
Simdega,3774,599578,159
West Singhbhum,7224,1502338,208
Bagalkote,6575,1889752,288
Bengaluru Urban,2190,9621551,4393
Bengaluru Rural,2259,990923,431
Belagavi,13415,4779661,356
Ballari,4252,1400970,290
Bidar,5448,1703300,313
Vijayapura,10498,2177331,210
Chamarajanagar,5101,1020791,181
Chikkaballapura,4524,1255104,296
Chikkamagaluru,7201,1137961,158
Chitradurga,8440,1659456,197
Dakshina Kannada,4560,2089649,430
Davanagere,4460,1643494,370
Dharwad,4260,1847023,434
Gadag,4656,1064570,229
Kalaburagi,10951,2566326,234
Hassan,6814,1776421,261
Haveri,4823,1597668,331
Kodagu,4102,554519,135
Kolar,3969,1536401,386
Koppal,7189,1389920,250
Mandya,4961,1805769,364
Mysuru,6854,3001127,476
Raichur,8440,1928812,228
Bengaluru South,3556,1082636,308
Shivamogga,8477,1752753,207
Tumakuru,10597,2678980,253
Udupi,3880,1177361,329
Uttara Kannada,10291,1437169,140
Vijayanagara,5644,1353628,240
Yadgiri,5234,1174271,224
Alappuzha,1415,2146033,
Ernakulam,2924,3427659,
Idukki,4612,1093156,
Kannur,2966,2615266,
Kasaragod,1989,1390894,
Kollam,2483,2659431,
Kottayam,2206,1983573,
Kozhikode,2345,3249761,
Malappuram,3554,4494998,
Palakkad,4482,2952254,
Pathanamthitta,2652,1172212,
Thiruvananthapuram,2189,3355148,
Thrissur,3027,3243170,
Wayanad,2130,846637,
Kargil,14086,140802,
Leh,"45,110",133487,
Changthang,,,
Drass,,,
Nubra,,,
Sham,,,
Zanskar,,,
Ahmednagar,17048,4543159,234.77
Akola,5428,1813906,300.78
Amravati,12235,2888445,206.4
Aurangabad,10100,3701282,286.83
Beed,10693,1200334,207.04
Bhandara,3717,2585049,305.58
Buldhana,9661,2586258,230.63
Chandrapur,11443,2204307,193.65
Dhule,7195,2050862,211.83
Gadchiroli,14412,1072942,67.33
Gondia,5234,1322507,247.81
Hingoli,4526,1177345,218.11
Jalgaon,11765,4229917,312.79
Jalna,7687,1959046,211.82
Kolhapur,7685,3876001,457.44
Latur,7157,2454196,282.19
Mumbai City,157,3085411,49140.9
Mumbai Suburban,446,9356962,23271
Nagpur,9892,4653570,409.36
Nanded,10528,3361292,275.98
Nandurbar,5955,1648295,260
Nashik,15582,6107187,321.56
Osmanabad,7569,1657576,197.89
Palghar,5344,2990116,562
Parbhani,6251,1836086,244.4
Pune,15643,9429408,461.85
Raigad,7152,2634200,308.89
Ratnagiri,8208,1615069,206.72
Sangli,8578,2822143,301.18
Satara,10480,3003741,266.77
Sindhudurg,5207,849651,166.86
Solapur,14895,4317756,259.32
Thane,4214,8070032,850.71
Wardha,6310,1300774,195.03
Washim,5150,1197160,275.98
Yavatmal,13582,2772348,152.93
Bishnupur,496,240363,415
Thoubal,324,420517,713
Imphal East,497,452661,555
Imphal West,519,514683,847
Senapati,1573,354772,116
Ukhrul,2206,183115,31
Chandel,2100,144028,37
Churachandpur,2392,271274,50
Tamenglong,3315,140143,25
Jiribam,182,43818,190
Kangpokpi,1698,,
Kakching,190,135481,
Tengnoupal,1213,,
Kamjong,2338,45616,23
Noney,1076,,
Pherzawl,2128,47250,21
North Garo Hills,1113,118325,
East Garo Hills,1490,199592,
South Garo Hills,1850,142334,
West Garo Hills,2855,472497,
South West Garo Hills,822,172495,
West Jaintia Hills,1693,270352,
East Jaintia Hills,2040,122939,
East Khasi Hills,2752,825922,
West Khasi Hills,3890,252010,
South West Khasi Hills,1341,110152,
Eastern West Khasi Hills,1356.77,131451,
Ri-Bhoi,2378,258840,
Aizawl,3577,400309,110
Champhai,3168,125745,39
Hnahthial,1030,28468,27
Khawzawl,1152,42355,36
Kolasib,1386,83955,61
Lawngtlai,2519,117894,46
Lunglei,4572,161428,36
Mamit,2967,86364,29
Saiha,1414,56574,40
Saitual,,63685,
Serchhip,1424,64937,46
Chümoukedima,610,125400,
Dimapur,70,170000,
Kiphire,1130,74004,
Kohima,1207,267988,
Longleng,885,50484,
Meluri,1011,22558,
Mokokchung,1719,194622,
Mon,1786,250260,
Niuland,,11876,
Noklak,1152,59300,
Peren,2300,95219,
Phek,2026,163418,
Shamator,,12726,
Tseminyü,256,63629,
Tuensang,2536,137296,
Wokha,1628,166343,
Zünheboto,1255,140757,
Angul,6375,1273821,200
Balangir,6575,1648997,251
Balasore,3634,2320529,638
Bargarh,5837,1481255,254
Bhadrak,2505,1506337,601
Boudh,3444.8,441162,128
Cuttack,3932,2624470,667
Debagarh,2782,312520,112
Dhenkanal,4452,1192811,268
Gajapati,3850,577817,150
Ganjam,8206,3529031,430
Jagatsinghapur,1759,1136971,646
Jajpur,2887.69,1827192,633
Jharsuguda,2081,579505,278
Kalahandi,7920,1576869,199
Kandhamal,7654,733110,96
Kendrapara,2644,1440361,545
Kendujhar,8303,1801733,217
Khordha,2813,2251673,800
Koraput,8807,1379647,157
Malkangiri,5791,613192,106
Mayurbhanj,10418,2519738,242
Nabarangpur,5294,1220946,231
Nayagarh,3890,962789,247
Nuapada,3852,610382,158
Puri,3051,1698730,557
Rayagada,7073,967911,137
Sambalpur,6702,1041099,155
Subarnapur,2337,610183,261
Sundargarh,9712,2093437,215
Karaikal,160,"200,222","1,252"
Mahé,9,"41,934","4,659"
Pondicherry,293,"946,600","3,231"
Yanam,30,"55,616","3,272"
Amritsar,2647,2490891,932
Barnala,1410,596294,419
Bathinda,3385,1388859,414
Faridkot,1469,618008,424
Fatehgarh Sahib,1180,599814,508
Firozpur,2190,965337,440
Fazilka[4],3113,1180483,379
Gurdaspur,2635,2299026,649
Hoshiarpur,3365,1582793,466
Jalandhar,2632,2181753,831
Kapurthala,1632,817668,501
Ludhiana,3767,3487882,975
Malerkotla,837,452016,540
Mansa,2171,768808,350
Moga,2216,992289,444
Sri Muktsar Sahib,2615,902702,348
Pathankot,929,676598,728
Patiala,3218,1892282,596
Rupnagar,1369,683349,488
Sahibzada Ajit Singh Nagar,1093,986147,830
Sangrur,2848,1203153,422
Shaheed Bhagat Singh Nagar,1267,614362,478
Tarn Taran,2449,1120070,464
Ajmer,8481,1531974,
Alwar,8380,2015275,
Balotra,,1115751,
Banswara,5037,1798194,
Baran,6992,1223921,
Barmer,28387,1488000,
Beawar,,1094918,
Bharatpur,5066,1475707,
Bhilwara,10455,1589543,
Bikaner,30247,2367745,
Bundi,5550,1113725,
Chittorgarh,7822,1544392,
Churu,13858,2041172,
Dausa,3432,1637226,
Deeg,,1072755,
Didwana-Kuchaman,,1625837,
Dholpur,3084,1207293,
Dungarpur,3770,1388906,
Hanumangarh,9656,1774692,
Jaipur,11152,6046835,
Jaisalmer,38401,669919,
Jalore,10640,1828730,
Jhalawar,6928,1411129,
Jhunjhunu,5928,2137045,
Jodhpur,22850,2955582,
Karauli,5043,1458248,
Khairthal-Tijara,,966821,
Kotputli-Behror,,1271426,
Kota,5217,1951014,
Nagaur,17718,1605543,
Pali,12387,1605543,
Phalodi,,731583,
Pratapgarh,4117,867848,
Rajsamand,4550,1156597,
Salumbar,,570775,
Sawai Madhopur,10527,1335551,
Sikar,7742,2677333,
Sirohi,5136,1036346,
Sri Ganganagar,11154,1969168,
Tonk,7194,1421326,
Udaipur,11724,2497645,
Gangtok,954,"281,293",295
Mangan,"4,226","43,354",10
Pakyong,404,"74,583",180
Soreng,293,"64,760",221
Namchi,750,"146,742",196
Gyalshing,"1,166","136,299",117
Ariyalur,2027.6,754894,372
Chengalpattu,2802.6,2556244,912
Chennai (formerly Madras),462.3,6748026,10052
Coimbatore,4950.7,3458045,699
Cuddalore,3870,2605914,673
Dharmapuri,4735.7,1506843,318
Dindigul,6289.1,2159775,343
Erode,6036,2251744,373
Kallakurichi,3440.8,1370281,398
Kancheepuram,1800.2,1166401,648
Kanyakumari,1729.2,1870374,1082
Karur,3022.3,1064493,352
Krishnagiri,5414.4,1883731,348
Madurai,3846.4,3038252,790
Mayiladuthurai,1237.1,918356,742
Nagapattinam,1459,697069,478
Namakkal,3573.4,1726601,483
Nilgiris,2452.5,735394,300
Perambalur,1836.6,565223,308
Pudukkottai,4847.8,1618345,334
Ramanathapuram,4243.1,1353445,319
Ranipet,2234.3,1210277,542
Salem,5245,3482056,669
Sivaganga,4086,1339101,328
Tenkasi,2916.1,1407627,483
Thanjavur,3396.6,2405890,708
Theni,3066,1245899,406
Thoothukudi,4621,1750176,379
Tiruchirappalli,4407,2722290,618
Tirunelveli,3842.4,1665253,433
Tirupathur,1792.9,1111812,620
Tiruppur,5186.3,2479052,478
Tiruvallur,3444.2,3728104,1082
Tiruvannamalai,6191,2464875,398
Tiruvarur,2161,1264277,585
Vellore,2222.1,1614242,726
Viluppuram,3725.5,2093003,562
Virudhunagar,4288,1942288,453
Adilabad,4153,708972,171
Kumuram Bheem Asifabad,4878,515812,106
Mancherial,4016,807037,201
Nirmal,3845,709418,185
Nizamabad,4288,1571022,366
Jagtial,2419,985417,407
Peddapalli,2236,795332,356
Kamareddy,3652,972625,266
Rajanna Sircilla,2019,552037,273
Karimnagar,2128,1005711,473
Jayashankar Bhupalpally,2293,416763,180
Sangareddy,4403,1527628,347
Medak,2786,767428,275
Siddipet,3632,1012065,279
Jangaon,2188,566376,259
Hanumakonda,1309,1080858,826
Warangal,2175,718537,330
Mulugu,3881,257744,66
Bhadradri kothagudem,7483,1069261,143
Khammam,4361,1401639,321
Mahabubabad,2877,774549,269
Suryapet,3607,1099560,305
Nalgonda,7122,1618416,227
Yadadri Bhuvanagiri[11],3092,739448,239
Medchalâ€“Malkajgiri,1084,2440073,2251
Hyderabad,217,3943323,18172
Ranga Reddy,5031,2446265,486
Vikarabad,3386,927140,274
Narayanpet,2336,566874,240
Mahabubnagar,2738,919903,340
Nagarkurnool,6545,893308,142
Wanaparthy,2152,577758,268
Jogulamba Gadwal,2928,609990,208
Dhalai,2426,378000,
Gomati,1522.8,441538,
Khowai,1377.28,327564,
Sipahijala,1043.04,479975,
Unakoti,686.97,298574,
North Tripura,1422.19,415946,
South Tripura,1514.3,453079,
West Tripura,983.63,918200,
Agra,4041,4418797,1093
Aligarh,3788,3673889,1007
Ambedkar Nagar,2350,2397888,1020
Ayodhya,2522,2470996,1056
Amethi,2329.11,2050133,773
Amroha,2249,1840221,818
Auraiya,2016,1379545,684
Azamgarh,4054,4613913,1138
Budaun,4234,3127621,2368
Bagpat,1321,1303048,249
Bahraich,2981,3487731,1170
Ballia,3349,3239774,967
Balrampur,4408,2148665,487
Banda,4402,1799410,409
Barabanki,4120,3260699,791
Bareilly,2688,4448359,1655
Basti,4561,2464464,540
Bijnor,4262,3682713,864
Bulandshahr,4441,3499171,776
Chandauli,2541,1952756,768
Chitrakoot,3216,991730,308
Deoria,2540,3100946,1221
Etah,2431,1774480,730
Etawah,2311,1581810,684
Farrukhabad,2181,1885204,864
Fatehpur,4152,2632733,634
Firozabad,2407,2498156,1038
Gautam Buddha Nagar,720,1648115,2288
Ghaziabad,1179,3343334,2836
Ghazipur,3377,3620268,1072
Gonda,4003,3433919,858
Gorakhpur,3321,4440895,1337
Hamirpur,4021,1104285,275
Hapur,649,1338311,2061
Hardoi,5986,4092845,684
Hathras,1840,1564708,850
Jalaun,4565,1689974,370
Jaunpur,4038,4494204,1113
Jhansi,5024,1998603,398
Kannauj,2093,1656616,792
Kanpur Dehat,3021,1796184,595
Kanpur Nagar,3155,4581268,1452
Kasganj,1955,1436719,735
Kaushambi,1779,1599596,899
Kushinagar,2905,4021243,1200
Lakhimpur Kheri,7680,3564544,520
Lalitpur,5039,1221592,242
Lucknow,2528,4589838,1816
Maharajganj,2952,2684703,909
Mahoba,3144,875958,279
Mainpuri,2760,1868529,677
Mathura,3340,2547184,763
Mau,1713,2205968,1288
Meerut,2559,3443689,1346
Mirzapur,4405,2496970,567
Moradabad,2233,3126507,1400
Muzaffarnagar,2742,2869934,1047
Pilibhit,3686,2031007,551
Pratapgarh,3717,3209141,863
Prayagraj,5482,5954391,1086
Rae Bareli,3937,2903507,737
Rampur,2367,2335819,987
Saharanpur,3689,3466382,940
Sant Kabir Nagar,2390,2199774,920
Bhadohi,1646,1715183,1042
Sambhal,1015,1578213,1555
Shahjahanpur,4388,3006538,685
Shamli,1266,1273578,1006
Shravasti,1640,1117361,681
Siddharthnagar,2895,2559297,884
Sitapur,5743,4483992,781
Sonbhadra,6905,1862559,270
Sultanpur,2457,2249036,915
Unnao,4558,3108367,682
Varanasi,1535,3676841,2395
Almora,3083,621972,201
Bageshwar,2302,259840,113
Chamoli,8030,391114,49
Champawat,1781,259315,146
Dehradun,3088,1695860,550
Haridwar,2360,1927029,817
Nainital,3860,955128,247
Pauri Garhwal,5399,686572,127
Pithoragarh,7100,485993,68
Rudraprayag,1890,236857,125
Tehri Garhwal,4080,616409,151
Udham Singh Nagar,2908,1648367,567
Uttarkashi,8016,329686,41
Alipurduar,3383,1491250,441
Bankura,6882,3596674,523
Paschim Bardhaman,1603.17,2882031,1798
Purba Bardhaman,5432.69,4835532,890
Birbhum,4545,3502404,771
Cooch Behar,3387,2819086,833
Darjeeling,3149,1595181,732
Dakshin Dinajpur,2219,1676276,755
Hooghly,3149,5519145,1753
Howrah,1467,4850029,3306
Jalpaiguri,6227,2381596,837
Jhargram,3037.64,1136548,374
Kolkata,206.08,4496694,24306
Kalimpong,1044,251642,241
Malda,3733,3988845,1069
Paschim Medinipur,6308,4776909,757
Purba Medinipur,4785,5095875,1076
Murshidabad,5324,7103807,1334
Nadia,3927,5167601,1316
North 24 Parganas,4094,10009781,2445
South 24 Parganas,9960,8161961,819
Purulia,6259,2930115,468
Uttar Dinajpur,3140,3007134,958
