Region,District,Headquarter,Area (kmÂ²),Population (2011),Established
Garo Hills[4],North Garo Hills,Resubelpara,1113,118325,2012
Garo Hills[4],East Garo Hills,Williamnagar,1490,199592,1976
Garo Hills[4],South Garo Hills,Baghmara,1850,142334,1992
Garo Hills[4],West Garo Hills,Tura,2855,472497,1976
Garo Hills[4],South West Garo Hills,Ampati,822,172495,2012
Jaintia Hills[5],West Jaintia Hills,Jowai,1693,270352,2012
Jaintia Hills[5],East Jaintia Hills,Khliehriat,2040,122939,2012
Khasi Hills[6],East Khasi Hills,Shillong,2752,825922,1976
Khasi Hills[6],West Khasi Hills,Nongstoin,3890,252010,1976
Khasi Hills[6],South West Khasi Hills,Mawkyrwat,1341,110152,2012
Khasi Hills[6],Eastern West Khasi Hills,Mairang,1356.77,131451,2021
Khasi Hills[6],Ri-Bhoi,Nongpoh,2378,258840,1992
